Date;Open;High;Low;Close*;Adj Close**;Volume
Aug 14, 2023;632.75;635.00;605.25;616.00;616.00;72,254
Aug 11, 2023;638.00;639.75;624.25;626.75;626.75;72,254
Aug 10, 2023;637.25;644.00;635.00;637.75;637.75;67,426
Aug 09, 2023;655.50;658.25;633.50;635.00;635.00;70,504
Aug 08, 2023;657.50;662.25;643.00;656.25;656.25;81,628
Aug 07, 2023;646.00;663.75;636.00;657.50;657.50;104,532
Aug 04, 2023;627.75;653.75;627.25;633.00;633.00;70,991
Aug 03, 2023;639.25;648.25;626.25;627.00;627.00;65,703
Aug 02, 2023;654.50;684.00;636.00;640.00;640.00;90,376
Aug 01, 2023;670.00;675.00;643.25;652.25;652.25;69,422
Jul 31, 2023;702.50;703.00;660.25;665.75;665.75;104,577
Jul 28, 2023;714.75;720.25;689.00;704.25;704.25;74,606
Jul 27, 2023;723.25;740.00;711.75;712.75;712.75;75,102
Jul 26, 2023;757.00;757.50;709.00;720.00;720.00;105,761
Jul 25, 2023;754.25;777.25;736.50;760.25;760.25;107,919
Jul 24, 2023;702.00;757.50;698.75;757.50;757.50;96,764
Jul 21, 2023;724.75;733.25;693.50;697.50;697.50;95,069
Jul 20, 2023;725.00;750.75;711.25;727.00;727.00;136,382
Jul 19, 2023;669.00;730.75;664.00;727.75;727.75;148,746
Jul 18, 2023;649.25;675.00;642.25;670.75;670.75;54,946
Jul 17, 2023;666.00;689.25;651.00;653.75;653.75;73,578
Jul 14, 2023;641.50;641.50;641.50;641.50;641.50;55,64
Jul 13, 2023;614.25;627.50;614.25;627.50;627.50;24
Jul 12, 2023;645.00;645.00;621.25;621.25;621.25;12
Jul 11, 2023;645.00;650.00;642.75;649.50;649.50;119
Jul 10, 2023;641.75;645.75;636.25;636.25;636.25;23
Jul 07, 2023;642.75;646.75;639.50;639.50;639.50;57
Jul 06, 2023;654.50;654.75;640.75;647.00;647.00;194
Jul 05, 2023;640.00;662.00;635.00;662.00;662.00;288
Jul 03, 2023;630.00;642.25;628.25;628.50;628.50;694
Jun 30, 2023;654.00;663.75;634.25;636.25;636.25;1,368
Jun 29, 2023;655.50;663.75;650.75;653.00;653.00;13,944
Jun 28, 2023;684.75;692.50;653.25;655.75;655.75;19,744
Jun 27, 2023;724.25;725.75;681.50;685.00;685.00;21,844
Jun 26, 2023;734.25;756.75;719.00;724.25;724.25;37,363
Jun 23, 2023;737.00;737.75;718.75;733.25;733.25;52,472
Jun 22, 2023;730.25;747.00;725.50;739.00;739.00;49,752
Jun 21, 2023;700.50;735.50;699.25;734.50;734.50;59,228
Jun 20, 2023;687.00;700.00;676.25;695.75;695.75;76,04
Jun 16, 2023;659.75;697.00;656.00;688.00;688.00;99,94
Jun 15, 2023;629.00;665.25;628.25;661.50;661.50;72,093
Jun 14, 2023;638.00;639.00;625.00;630.25;630.25;70,761
Jun 13, 2023;634.50;649.25;626.75;636.25;636.25;106,163
Jun 12, 2023;629.75;638.75;622.25;633.75;633.75;91,968
Jun 09, 2023;624.50;632.25;618.50;630.25;630.25;113,037
Jun 08, 2023;616.00;629.00;611.25;626.25;626.25;98,911
Jun 07, 2023;626.50;635.50;613.25;616.75;616.75;89,27
