Date;Open;High;Low;Close*;Adj Close**;Volume
Aug 14, 2023;22.405;22.644;22.405;22.644;22.644;5
Aug 11, 2023;22.674;22.674;22.674;22.674;22.674;5
Aug 10, 2023;22.746;22.746;22.746;22.746;22.746;5
Aug 09, 2023;22.650;22.650;22.650;22.650;22.650;5
Aug 08, 2023;22.960;22.965;22.717;22.717;22.717;5
Aug 07, 2023;23.475;23.475;23.070;23.142;23.142;50
Aug 04, 2023;23.600;23.625;23.375;23.617;23.617;62
Aug 03, 2023;23.585;23.610;23.430;23.586;23.586;56
Aug 02, 2023;24.150;24.150;23.754;23.754;23.754;8
Aug 01, 2023;24.580;24.580;24.185;24.208;24.208;11
Jul 31, 2023;24.210;24.854;24.210;24.854;24.854;169
Jul 28, 2023;24.230;24.370;24.215;24.370;24.370;78
Jul 27, 2023;24.236;24.236;24.236;24.236;24.236;96
Jul 26, 2023;24.605;24.825;24.605;24.825;24.825;15
Jul 25, 2023;24.545;24.735;24.545;24.680;24.680;65
Jul 24, 2023;24.436;24.436;24.436;24.436;24.436;10
Jul 21, 2023;24.698;24.698;24.698;24.698;24.698;-
Jul 20, 2023;25.280;25.280;24.805;24.805;24.805;215
Jul 19, 2023;25.250;25.250;25.045;25.219;25.219;7
Jul 18, 2023;24.965;25.100;24.965;25.084;25.084;657
Jul 17, 2023;24.920;24.920;24.840;24.844;24.844;16
Jul 14, 2023;24.910;25.014;24.800;25.014;25.014;54
Jul 13, 2023;24.300;24.815;24.300;24.768;24.768;138
Jul 12, 2023;23.140;24.119;23.140;24.119;24.119;145
Jul 11, 2023;23.225;23.305;23.086;23.086;23.086;371
Jul 10, 2023;23.050;23.151;22.760;23.151;23.151;126
Jul 07, 2023;22.860;23.110;22.860;23.092;23.092;44
Jul 06, 2023;23.155;23.240;22.686;22.686;22.686;81
Jul 05, 2023;22.920;23.315;22.920;23.197;23.197;236
Jul 03, 2023;22.765;23.005;22.705;22.896;22.896;305
Jun 30, 2023;22.530;22.810;22.345;22.810;22.810;544
Jun 29, 2023;22.745;22.905;22.300;22.591;22.591;6,994
Jun 28, 2023;22.865;22.868;22.865;22.868;22.868;34,711
Jun 27, 2023;22.939;22.939;22.939;22.939;22.939;1
Jun 26, 2023;22.805;22.850;22.805;22.805;22.805;6
Jun 23, 2023;22.328;22.328;22.328;22.328;22.328;-
Jun 22, 2023;22.436;22.436;22.436;22.436;22.436;3
Jun 21, 2023;22.774;22.774;22.774;22.774;22.774;-
Jun 20, 2023;23.193;23.193;23.193;23.193;23.193;-
Jun 16, 2023;24.076;24.076;24.076;24.076;24.076;-
Jun 15, 2023;23.891;23.891;23.891;23.891;23.891;1
Jun 14, 2023;24.044;24.044;24.044;24.044;24.044;-
Jun 13, 2023;23.756;23.756;23.756;23.756;23.756;-
Jun 12, 2023;24.285;24.285;23.985;23.985;23.985;1
Jun 09, 2023;24.390;24.390;24.334;24.334;24.334;3
Jun 08, 2023;23.520;24.264;23.520;24.264;24.264;4
Jun 07, 2023;23.439;23.439;23.439;23.439;23.439;-
Jun 06, 2023;23.574;23.574;23.574;23.574;23.574;62
Jun 05, 2023;23.534;23.534;23.534;23.534;23.534;-
Jun 02, 2023;23.840;23.840;23.643;23.643;23.643;6
Jun 01, 2023;23.875;23.875;23.875;23.875;23.875;92
May 31, 2023;23.330;23.580;23.330;23.474;23.474;13
May 30, 2023;23.285;23.370;22.930;23.125;23.125;687
May 26, 2023;23.130;23.240;23.115;23.240;23.240;282
